,sim_id,$\eta$,$\omega$,$D_r$
0,231,1.4000000000000001,1.8433170469870295,1.2383849593922283
0,232,1.4000000000000001,1.9140221028812552,1.5185903158101255
0,233,1.4000000000000001,1.8469841051651126,1.3136039499286842
0,234,1.4000000000000001,1.8469841051651126,1.2339703033027554
0,235,1.4000000000000001,1.8855762675961485,1.1960856634616877
0,236,1.4000000000000001,1.9229853333866935,1.4419364981091862
0,237,1.4000000000000001,1.8469841051651126,1.3900748443547337
0,238,1.4000000000000001,1.8995132987749774,1.3648262481843865
0,239,1.4000000000000001,1.8849883945955819,1.267198384198996
0,240,1.6,1.8760174666713199,1.2788837960688784
0,241,1.6,1.9305291960151265,1.3168033003084008
0,242,1.6,1.9212788855420344,1.1855770309254594
0,243,1.6,1.8290402863589672,1.2227304259103184
0,244,1.6,1.9030531533286428,1.1040624058493782
0,245,1.6,1.904589696627747,1.1336606185741007
0,246,1.6,1.9195693559478932,1.2065725018740465
0,247,1.6,1.8469841051651126,1.4122234232933164
0,248,1.6,1.8760178138814254,1.1433849502491822
0,249,1.6,1.8760178138814254,1.1454945144463529
0,250,1.6,1.9003220637880787,1.270470306969637
0,251,1.6,1.8760149527172187,1.2849997858011966
0,252,1.6,1.9059983650654093,1.2239364458244768
0,253,1.6,1.8469841051651126,1.156653616032446
0,254,1.6,1.9070390456421455,1.3026784562956815
0,255,1.6,1.876016485325584,1.1047188682959515
0,256,1.6,1.8290402863589672,1.2762534035351891
0,257,1.6,1.9030540946836332,1.2510938236132492
0,258,1.6,1.904589696627747,1.3921711385997155
0,259,1.6,1.8748150576817788,1.4247363536923878
0,260,1.6,1.9140221028812552,1.2456075404314335
0,261,1.6,1.904589696627747,1.286983011392117
0,262,1.6,1.8849765679991894,1.1562416844659298
0,263,1.6,1.9084771580084163,1.3176132912881242
0,264,1.6,1.8525158948348877,1.3819714168968737
0,265,1.6,1.9084771580084163,1.1316702088678836
0,266,1.6,1.876016485325584,1.1645744955703219
0,267,1.6,1.9174519816546822,1.328683971924687
0,268,1.6,1.9084771580084163,1.2980629754862998
0,269,1.6,1.9229953414038836,1.1792808563450394
0,270,1.8,1.8469841051651126,1.0934743223553534
0,271,1.8,1.8469841051651126,1.1093947055475284
0,272,1.8,1.8748150576817788,1.1738061381767646
0,273,1.8,1.876016485325584,1.1036815829536537
0,274,1.8,1.8290402863589672,1.150318219862764
0,275,1.8,1.9140221028812552,1.2080596364259684
0,276,1.8,1.8559428592828766,1.2393551884129113
0,277,1.8,1.8290402863589672,1.203492984736294
0,278,1.8,1.9229853333866935,1.11439771176981
0,279,1.8,1.8469841051651126,1.2330109135404181
0,280,1.8,1.8290402863589672,1.3009748637486207
0,281,1.8,1.8469841051651126,1.188121366482125
0,282,1.8,1.904589696627747,1.1538797598467634
0,283,1.8,1.8469841051651126,1.209641282019401
0,284,1.8,1.876016485325584,1.3053171860203394
0,285,1.8,1.8469841051651126,1.1733758512291426
0,286,1.8,1.8433170469870295,1.2968620575606349
0,287,1.8,1.8760178138814254,1.1735839212050292
0,288,1.8,1.904589696627747,1.1475753614057673
0,289,1.8,1.8469841051651126,1.2409365528034666
0,290,1.8,1.9229953414038836,1.2311457934665033
0,291,1.8,1.9174519816546822,1.0892386214199807
0,292,1.8,1.8469841051651126,1.2886036341772376
0,293,1.8,1.8748150576817788,1.2255627725923923
0,294,1.8,1.903533313465346,1.1793314354992313
0,295,1.8,1.8760178138814254,1.2830251863222335
