,sim_id,$p_s$,$D_r$
0,190,0.6200000000000001,1.3307848538983102
0,191,0.6200000000000001,1.1779947209213693
0,192,0.6200000000000001,1.4928923007732815
0,193,0.6200000000000001,1.4731520138335865
0,194,0.6200000000000001,1.2183081040877632
0,195,0.6200000000000001,1.3543168070568479
0,196,0.6200000000000001,1.212140784152415
0,197,0.6200000000000001,1.2420255998879133
0,198,0.6200000000000001,1.159680550093068
0,199,0.6200000000000001,1.4653669263898796
0,200,0.6200000000000001,1.4555658575139185
0,201,0.6200000000000001,1.2183340667012166
0,202,0.6200000000000001,1.3615259236340176
0,203,0.6200000000000001,1.2935290396551566
0,204,0.6200000000000001,1.2503073822342379
0,205,0.6200000000000001,1.2345044068115945
0,206,0.6200000000000001,1.4859947556783244
0,207,0.6200000000000001,1.1493679759613935
0,208,0.6200000000000001,1.4201163986809
0,209,0.6200000000000001,1.3540463910513638
0,210,0.7150000000000001,1.2726515800715699
0,211,0.7150000000000001,1.2180303330655564
0,212,0.7150000000000001,1.4117542070934592
0,213,0.7150000000000001,1.2740244114353114
0,214,0.7150000000000001,1.146854608929165
0,215,0.7150000000000001,1.34047855408211
0,216,0.7150000000000001,1.191893408964276
0,217,0.7150000000000001,1.1404825006585078
0,218,0.7150000000000001,1.318748406315316
0,219,0.7150000000000001,1.2031248435723072
0,220,0.7150000000000001,1.2453338105551206
0,221,0.7150000000000001,1.4752217832458576
0,222,0.7150000000000001,1.2512694384494578
0,223,0.7150000000000001,1.2330368787579313
0,224,0.7150000000000001,1.2501601179319695
0,225,0.7150000000000001,1.3433510851388206
0,226,0.7150000000000001,1.3595833049510944
0,227,0.7150000000000001,1.2549531307534134
0,228,0.7150000000000001,1.406504701542904
0,229,0.7150000000000001,1.1327811037357682
0,230,0.7150000000000001,1.3113512893105572
0,231,0.7150000000000001,1.278088570341441
0,232,0.7150000000000001,1.295080516059984
0,233,0.7150000000000001,1.1992272363634953
0,234,0.7150000000000001,1.1238231163548422
0,235,0.7150000000000001,1.4003523049181326
0,236,0.7150000000000001,1.2511344663191712
0,237,0.7150000000000001,1.4983833040833856
0,238,0.7150000000000001,1.4489371436666099
0,239,0.7150000000000001,1.4755619020384783
0,240,0.81,1.3994325635129043
0,241,0.81,1.114467324259221
0,242,0.81,1.394581224476622
0,243,0.81,1.2995550829146003
0,244,0.81,1.4173863742761015
0,245,0.81,1.4947821077172716
0,246,0.81,1.5985469702716497
0,247,0.81,1.1833889244268483
0,248,0.81,1.2622726057308566
0,249,0.81,1.28514085660823
0,250,0.81,1.3223684006677023
0,251,0.81,1.3386810796795379
0,252,0.81,1.2740500355050104
0,253,0.81,1.5092685236045174
0,254,0.81,1.2692723806864203
0,255,0.81,1.2570833414372298
0,256,0.81,1.1507882547290418
0,257,0.81,1.2555279478605808
0,258,0.81,1.2838250726924048
0,259,0.81,1.3260027553415514
0,260,0.81,1.3293395386702076
0,261,0.81,1.2063954772928391
0,262,0.81,1.6053272490882264
0,263,0.81,1.3893901630907681
0,264,0.81,1.3426081511365104
0,265,0.81,1.4515028981619693
0,266,0.81,1.3074417015355726
0,267,0.81,1.3814944549280002
0,268,0.81,1.2331342642354823
